Country,Vaccinations
Afghanistan,6860
Austria,6000
Bahrain,198240
Belarus,129
Belgium,410
Bulgaria,6330
Canada,18540
Cayman Islands,206750
Chile,9230
China,20800
Costa Rica,3290
Croatia,2710
Czechia,10150
Denmark,22510
England,163880
Estonia,13560
France,170
Germany,16990
Greece,1840
Hungary,19320
Iceland,1830
Israel,716730
Italy,2240
Kuwait,7770
Latvia,5260
Lithuania,36710
Luxembourg,16050
Mexico,1230
Monaco,31880
Northern Ireland,178210
Norway,1920
Oman,9390
Poland,9700
Portugal,25530
Qatar,41490
Romania,3090
Russia,30260
Scotland,206950
Slovenia,26730
Sweden,7760
Switzerland,4840
United Kingdom,179930
United States of America,64550
Wales,117340
